Place name list
葉爾奇木
葉爾羌
哈什哈爾
準噶爾
伊犁
菎崙
崑
崑崙
昆山
西崑
崑墟
崑岡
和闐 
于闐
堅昆
大酉
厄魯
西申
回部
回
囘
回城
博洛爾
蒙古
疏勒
天竺
厄訥特珂克
五印度
印達爾
印度
西藏
洪豁爾
東印度
中天竺
北印度
葱嶺
蔥嶺
拔達克山
克什米爾
伽濕彌勒
溫都斯坦
痕都天竺藩
痕都斯坦
痕都
印度
誐惹曩國
新疆
回疆
管城
大蒙
崑嶠
泰西
舒州
荊國
昌城
羭次山
鬻都丸
玉隴
月邦
專諸巷
專諸巷
西洱
吴
蘇城
吳
蘇州
姑蘇
鹿台
東陵關
罽賓
罽賔
靈川
遠域
遐方
遠瀛
遐陬
蘭陵
内地
中華
中國
中
中土
華夏
西天
天方
西瀛
稷翼
西極
西濛
西域
西海
西土
外域
外城
