words,word_counts,word_frequency
之,43,0.008548707753479125
有,33,0.0065606361829025845
製,31,0.006163021868787276
都,29,0.005765407554671968
而,25,0.004970178926441352
水磨,24,0.004771371769383698
為,24,0.004771371769383698
亦,23,0.0045725646123260435
痕,20,0.003976143141153081
是,19,0.0037773359840954273
一,17,0.003379721669980119
於,16,0.0031809145129224653
乾隆,16,0.0031809145129224653
印度,16,0.0031809145129224653
不,16,0.0031809145129224653
與,14,0.002783300198807157
和,13,0.002584493041749503
天竺,13,0.002584493041749503
崑,12,0.002385685884691849
爲,12,0.002385685884691849
也,12,0.002385685884691849
如,12,0.002385685884691849
十全,11,0.002186878727634195
中,11,0.002186878727634195
無,11,0.002186878727634195
以,11,0.002186878727634195
崑崙,10,0.0019880715705765406
玉,10,0.0019880715705765406
闐,10,0.0019880715705765406
趺,10,0.0019880715705765406
楮,10,0.0019880715705765406
四照,10,0.0019880715705765406
呈,10,0.0019880715705765406
復,10,0.0019880715705765406
者,10,0.0019880715705765406
却,10,0.0019880715705765406
花開,10,0.0019880715705765406
若,10,0.0019880715705765406
在,9,0.0017892644135188867
內壁,9,0.0017892644135188867
耳,9,0.0017892644135188867
盂,9,0.0017892644135188867
朶,8,0.0015904572564612327
更,8,0.0015904572564612327
椀,8,0.0015904572564612327
承,8,0.0015904572564612327
此,8,0.0015904572564612327
天方,8,0.0015904572564612327
外壁,8,0.0015904572564612327
詠,8,0.0015904572564612327
詎,8,0.0015904572564612327
可,8,0.0015904572564612327
翻,8,0.0015904572564612327
出,8,0.0015904572564612327
瓣,8,0.0015904572564612327
琢,8,0.0015904572564612327
葉,7,0.0013916500994035786
其,7,0.0013916500994035786
巧,7,0.0013916500994035786
三,7,0.0013916500994035786
寶,7,0.0013916500994035786
寳,7,0.0013916500994035786
式,7,0.0013916500994035786
連城,7,0.0013916500994035786
垂,7,0.0013916500994035786
月,7,0.0013916500994035786
曾,7,0.0013916500994035786
吾,7,0.0013916500994035786
所,7,0.0013916500994035786
又,7,0.0013916500994035786
西,7,0.0013916500994035786
厚,7,0.0013916500994035786
歲,7,0.0013916500994035786
花,7,0.0013916500994035786
萬里,7,0.0013916500994035786
我,6,0.0011928429423459245
老人,6,0.0011928429423459245
貢,6,0.0011928429423459245
嗎,6,0.0011928429423459245
說,6,0.0011928429423459245
精,6,0.0011928429423459245
皆,6,0.0011928429423459245
藉,6,0.0011928429423459245
則,6,0.0011928429423459245
不可,6,0.0011928429423459245
非,6,0.0011928429423459245
豈,6,0.0011928429423459245
薄來,6,0.0011928429423459245
山,6,0.0011928429423459245
鼂,6,0.0011928429423459245
比,6,0.0011928429423459245
至,6,0.0011928429423459245
旣,6,0.0011928429423459245
彼,6,0.0011928429423459245
奇,6,0.0011928429423459245
得,5,0.0009940357852882703
形,5,0.0009940357852882703
矣,5,0.0009940357852882703
仍,5,0.0009940357852882703
頻來,5,0.0009940357852882703
弗,5,0.0009940357852882703
畧,5,0.0009940357852882703
大白,5,0.0009940357852882703
撫,5,0.0009940357852882703
彫,5,0.0009940357852882703
花葉,5,0.0009940357852882703
珍,5,0.0009940357852882703
玉盤,5,0.0009940357852882703
中國,5,0.0009940357852882703
或,5,0.0009940357852882703
曰,5,0.0009940357852882703
稱,5,0.0009940357852882703
及,5,0.0009940357852882703
古,5,0.0009940357852882703
事,5,0.0009940357852882703
宜,5,0.0009940357852882703
乎,5,0.0009940357852882703
喀,5,0.0009940357852882703
即,5,0.0009940357852882703
卻,5,0.0009940357852882703
誰,5,0.0009940357852882703
不留,5,0.0009940357852882703
既,5,0.0009940357852882703
那,5,0.0009940357852882703
鏤,5,0.0009940357852882703
水,4,0.0007952286282306163
琢磨,4,0.0007952286282306163
莖,4,0.0007952286282306163
鐫,4,0.0007952286282306163
如紙,4,0.0007952286282306163
遠,4,0.0007952286282306163
如脂,4,0.0007952286282306163
守,4,0.0007952286282306163
居,4,0.0007952286282306163
荷葉,4,0.0007952286282306163
玉工,4,0.0007952286282306163
瀛,4,0.0007952286282306163
人,4,0.0007952286282306163
獻,4,0.0007952286282306163
天佑,4,0.0007952286282306163
遠域,4,0.0007952286282306163
自,4,0.0007952286282306163
質,4,0.0007952286282306163
璆,4,0.0007952286282306163
北,4,0.0007952286282306163
等,4,0.0007952286282306163
含,4,0.0007952286282306163
向,4,0.0007952286282306163
訥,4,0.0007952286282306163
羊脂,4,0.0007952286282306163
西藏,4,0.0007952286282306163
致,4,0.0007952286282306163
器,4,0.0007952286282306163
一具,4,0.0007952286282306163
製出,4,0.0007952286282306163
厄,4,0.0007952286282306163
卣,4,0.0007952286282306163
聲,4,0.0007952286282306163
能,4,0.0007952286282306163
傳,4,0.0007952286282306163
磬,4,0.0007952286282306163
璧,4,0.0007952286282306163
截肪,4,0.0007952286282306163
近,4,0.0007952286282306163
辛巳,4,0.0007952286282306163
大國,4,0.0007952286282306163
瓊華,4,0.0007952286282306163
由來,4,0.0007952286282306163
薄,4,0.0007952286282306163
腴,4,0.0007952286282306163
磨,4,0.0007952286282306163
盃,4,0.0007952286282306163
盈尺,4,0.0007952286282306163
圓,4,0.0007952286282306163
回部,4,0.0007952286282306163
武功,4,0.0007952286282306163
碗,4,0.0007952286282306163
真,4,0.0007952286282306163
輸誠,4,0.0007952286282306163
慙,4,0.0007952286282306163
序,4,0.0007952286282306163
上,4,0.0007952286282306163
暎,4,0.0007952286282306163
往,4,0.0007952286282306163
雲,4,0.0007952286282306163
御製,4,0.0007952286282306163
中規,4,0.0007952286282306163
柄,4,0.0007952286282306163
難,4,0.0007952286282306163
